,zipcode,covid_rates,crime_rates,2019crime_rates,outcomes
0,76574,1213,0,16,0
1,78605,8,0,1800,0
2,78610,58418,1,348,0
3,78612,17872,0,566,0
4,78613,61162,312,489,0
5,78615,9531,0,249,0
6,78616,5099,0,1677,0
7,78617,971060,265,352,0
8,78620,9307,0,40,0
9,78621,136051,0,45,0
10,78626,2616,0,7,0
11,78628,1560,0,72,0
12,78634,16775,0,1246,0
13,78640,8242,0,91,0
14,78641,67646,0,1214,0
15,78642,243,0,532,0
16,78644,2183,0,3,0
17,78645,218456,0,19,0
18,78652,169904,19,353,0
19,78653,983608,101,1,1
20,78654,9852,0,2806,0
21,78660,2942560,490,1352,0
22,78663,300,0,992,0
23,78664,54945,0,807,0
24,78665,6637,0,1,0
25,78669,143716,0,3062,0
26,78681,31950,2,608,0
27,78701,298491,2234,2,1
28,78702,737569,2101,219,1
29,78703,381613,984,3,1
30,78704,1100047,4006,2066,1
31,78705,744623,1844,286,1
32,78712,17302,3,255,0
33,78717,68758,599,337,1
34,78719,79243,152,2770,0
35,78721,357533,659,3276,0
36,78722,159523,427,84,1
37,78723,762130,2736,100,1
38,78724,1048018,632,679,0
39,78725,455543,100,684,0
40,78726,236555,313,9,1
41,78727,490318,1057,0,1
42,78728,553250,26,1,1
43,78729,135081,953,1210,0
44,78730,118527,122,407,0
45,78731,384882,1176,2124,0
46,78732,277157,12,585,0
47,78733,119736,2,179,0
48,78734,376157,0,890,0
49,78735,402247,470,569,0
50,78736,150924,147,1802,0
51,78737,68370,3,3374,0
52,78738,446807,0,0,0
53,78739,238126,95,0,1
54,78741,1611269,3971,0,1
55,78742,35967,64,0,1
56,78744,1918906,2321,0,1
57,78745,1346130,2921,0,1
58,78746,467057,800,0,1
59,78747,670141,335,0,1
60,78748,1211789,1545,0,1
61,78749,555008,910,0,1
62,78750,339183,743,0,1
63,78751,258242,1428,0,1
64,78752,557222,1628,0,1
65,78753,1667080,4341,0,1
66,78754,793931,787,0,1
67,78756,130699,495,0,1
68,78757,410899,1714,0,1
69,78758,1437291,4422,0,1
70,78759,611254,2326,0,1
